
 Calculating Transition Dipole Moments

    A(vi)   A(vj)      |<vi|μ|vj>|^2
    23      24    21.79922113
    23      25     0.00000000
    23      26     0.00814369
    23      27     0.00000000
    23      28     0.00274437
    23      29     0.00000000
    23      30     0.00172912
 ------------------------------
    24       0     0.00000000
    24       1     0.00001579
    24       2     0.00000000
    24       3     0.00009438
    24       4     0.00000000
    24       5     0.00023216
    24       6     0.00000000
    24       7     0.00034022
    24       8     0.00000000
    24       9     0.00027664
    24      10     0.00000000
    24      11     0.00004408
    24      12     0.00000000
    24      13     0.00014531
    24      14     0.00000000
    24      15     0.00068402
    24      16     0.00000000
    24      17     0.00013388
    24      18     0.00000000
    24      19     0.00067736
    24      20     0.00000000
    24      21     0.00457851
    24      22     0.00000000
    24      23    21.79922113
    24      24     0.00000000
    24      25    20.79830413
    24      26     0.00000000
    24      27     0.02229361
    24      28     0.00000000
    24      29     0.00459170
    24      30     0.00000000
 ------------------------------
    25       0     0.00210373
    25       1     0.00000000
    25       2     0.00091560
    25       3     0.00000000
    25       4     0.00046059
    25       5     0.00000000
    25       6     0.00014312
    25       7     0.00000000
    25       8     0.00000047
    25       9     0.00000000
    25      10     0.00015786
    25      11     0.00000000
    25      12     0.00074603
    25      13     0.00000000
    25      14     0.00179821
    25      15     0.00000000
    25      16     0.00322383
    25      17     0.00000000
    25      18     0.00529582
    25      19     0.00000000
    25      20     0.01022737
    25      21     0.00000000
    25      22     0.03377555
    25      23     0.00000000
    25      24    20.79830413
    25      25     0.00000000
    25      26    23.16148189
    25      27     0.00000000
    25      28     0.01140634
    25      29     0.00000000
    25      30     0.00274648
 ------------------------------
    26       0     0.00000000
    26       1     0.00000150
    26       2     0.00000000
    26       3     0.00002890
    26       4     0.00000000
    26       5     0.00010262
    26       6     0.00000000
    26       7     0.00019269
    26       8     0.00000000
    26       9     0.00020952
    26      10     0.00000000
    26      11     0.00008518
    26      12     0.00000000
    26      13     0.00000970
    26      14     0.00000000
    26      15     0.00020465
    26      16     0.00000000
    26      17     0.00004488
    26      18     0.00000000
    26      19     0.00034476
