 point     x(Å)      W
          44   2.1816605246471581        3.5542824359475925E-015
          45   2.1327337316663226        2.9256051436471315E-014
          46   2.0839932437578703        2.2220151125790472E-013
          47   2.0354298728595883        1.5590549255574772E-012
          48   1.9870348006978766        1.0116812009960327E-011
          49   1.9387995506210447        6.0778437594159768E-011
          50   1.8907159617735207        3.3838207012562918E-010
          51   1.8427761653586165        1.7475098827142209E-009
          52   1.7949725627679571        8.3784654573162282E-009
          53   1.7472978053819133        3.7324734098992297E-008
          54   1.6997447758679929        1.5461411843105307E-007
          55   1.6523065708236937        5.9598254897039070E-007
          56   1.6049764846272732        2.1391519688131394E-006
          57   1.5577479943746104        7.1539515355890357E-006
          58   1.5106147457931494        2.2304926470707059E-005
          59   1.4635705400350749        6.4869805018179903E-005
          60   1.4166093212616384        1.7607226778935649E-004
          61   1.3697251649390569        4.4622007110453800E-004
          62   1.3229122667738864        1.0563416857043821E-003
          63   1.2761649322222828        2.3368400915518180E-003
          64   1.2294775665132880        4.8325911868389139E-003
          65   1.1828446651312714        9.3454535527136718E-003
          66   1.1362608047070306        1.6905135871612586E-002
          67   1.0897206342708547        2.8612106958160369E-002
          68   1.0432188668241693        4.5320570847252523E-002
          69  0.99675027118923720        6.7196013411209607E-002
          70  0.95030966409885254        9.3275910346104829E-002
          71  0.90389190249005302       0.12123716317285035     
          72  0.85749187596762944       0.14756796236123357     
          73  0.81110449940466167       0.16821923724022297     
          74  0.76472470564845962       0.17960204009494313     
          75  0.71834743830117620       0.17960204009494313     
          76  0.67196764454497426       0.16821923724022297     
          77  0.62558026798200639       0.14756796236123357     
          78  0.57918024145958291       0.12123716317285035     
          79  0.53276247985078340        9.3275910346104829E-002
          80  0.48632187276039868        6.7196013411209607E-002
          81  0.43985327712546651        4.5320570847252523E-002
          82  0.39335150967878107        2.8612106958160369E-002
          83  0.34681133924260532        1.6905135871612586E-002
          84  0.30022747881836448        9.3454535527136718E-003
          85  0.25359457743634778        4.8325911868389139E-003
          86  0.20690721172735288        2.3368400915518180E-003
          87  0.16015987717574942        1.0563416857043821E-003
          88  0.11334697901057902        4.4622007110453800E-004
          89   6.6462822687997566E-002   1.7607226778935649E-004
          90   1.9501603914560923E-002   6.4869805018179903E-005
          91  -2.7542601843513505E-002   2.2304926470707059E-005
          92  -7.4675850424974641E-002   7.1539515355890357E-006
          93 -0.12190434067763738        2.1391519688131394E-006
          94 -0.16923442687405782        5.9598254897039070E-007
          95 -0.21667263191835695        1.5461411843105307E-007
          96 -0.26422566143227738        3.7324734098992297E-008
          97 -0.31190041881832126        8.3784654573162282E-009
          98 -0.35970402140898078        1.7475098827142209E-009
          99 -0.40764381782388487        3.3838207012562918E-010
         100 -0.45572740667140876        6.0778437594159768E-011
         101 -0.50396265674824092        1.0116812009960327E-011
         102 -0.55235772890995216        1.5590549255574772E-012
         103 -0.60092109980823427        2.2220151125790472E-013
         104 -0.64966158771668669        2.9256051436471315E-014
         105 -0.69858838069752238        3.5542824359475925E-015
         106 -0.74771106739710247        3.9793051828221297E-016
         107 -0.79703967079978910        4.1001349905288698E-017
         108 -0.84658468531837339        3.8824303202657256E-018
         109 -0.89635711765677928        3.3733593511587092E-019
         110 -0.94636853194860138        2.6851626691585129E-020
         111 -0.99663109975552822        1.9546850118180284E-021
         112  -1.0471576556055662        1.2989130984240142E-022
         113  -1.0979617588656090        7.8636681438024121E-024
         114  -1.1490577628805965        4.3281046749583120E-025
         115  -1.2004608924776830        2.1608244949042587E-026
         116  -1.2521873311353453        9.7620761562972366E-028
         117  -1.3042543193630469        3.9805330733973518E-029
         118  -1.3566802661381787        1.4608586938295249E-030
         119  -1.4094848756182563        4.8110787981191309E-032
         120  -1.4626892918068961        1.4172340427766851E-033
         121  -1.5163162644270900        3.7212625316225906E-035
         122  -1.5703903399783039        8.6765699223357964E-037
         123  -1.6249380828696565        1.7890987177634079E-038
         124  -1.6799883326905469        3.2479669251544908E-040
         125  -1.7355725051853055        5.1661373787992649E-042
         126  -1.7917249464540119        7.1611639319679898E-044
         127  -1.8484833524671145        8.6005009516159441E-046
         128  -1.9058892693826586        8.8917221680511378E-048
         129  -1.9639886947153820        7.8572573935603775E-050
         130  -2.0228328055975089        5.8875467910574543E-052
         131  -2.0824788488877410        3.7079038793854296E-054
         132  -2.1429912397743576        1.9432660775003610E-056
         133  -2.2044429323849100        8.3803809757287015E-059
         134  -2.2669171502695367        2.9360923690156163E-061
         135  -2.3305096004885977        8.2354102738644673E-064
         136  -2.3953313490147528        1.8182439901095318E-066
         137  -2.4615126184242664        3.0979908735544587E-069
         138  -2.5292079009037449        3.9794814788875708E-072
         139  -2.5986029957527492        3.7476379174492494E-075
         140  -2.6699249475104749        2.5011096149426495E-078
         141  -2.7434565107735001        1.1342570222436408E-081
         142  -2.8195579781088389        3.3144783626994682E-085
         143  -2.8987016012474780        5.8240937771370998E-089
         144  -2.9815289329684038        5.6069447675958638E-093
         145  -3.0689533297620510        2.5936668261701546E-097
         146  -3.1623613004075470        4.7340081105257434E-102
         147  -3.2640645638445687        2.4653426103608614E-107
         148  -3.3785492338375227        1.9730195235183973E-113
         149  -3.5175576480107114        4.9941282442598909E-121
